"","X.W..Pollock.model","X.W..Pollock.species","X.W..Pollock.type","X.W..Pollock.year","X.W..Pollock.Age.1","X.W..Pollock.Age.2","X.W..Pollock.Age.3","X.W..Pollock.Age.4","X.W..Pollock.Age.5","X.W..Pollock.Age.6","X.W..Pollock.Age.7","X.W..Pollock.Age.8","X.W..Pollock.Age.9","X.W..Pollock.Age.10","X.W..Pollock.Age.11","X.W..Pollock.Age.12","P..Cod.model","P..Cod.species","P..Cod.type","P..Cod.year","P..Cod.Age.1","P..Cod.Age.2","P..Cod.Age.3","P..Cod.Age.4","P..Cod.Age.5","P..Cod.Age.6","P..Cod.Age.7","P..Cod.Age.8","P..Cod.Age.9","P..Cod.Age.10","P..Cod.Age.11","P..Cod.Age.12","Arrowtooth.model","Arrowtooth.species","Arrowtooth.type","Arrowtooth.year","Arrowtooth.Age.1","Arrowtooth.Age.2","Arrowtooth.Age.3","Arrowtooth.Age.4","Arrowtooth.Age.5","Arrowtooth.Age.6","Arrowtooth.Age.7","Arrowtooth.Age.8","Arrowtooth.Age.9","Arrowtooth.Age.10","Arrowtooth.Age.11","Arrowtooth.Age.12","Arrowtooth.Age.13","Arrowtooth.Age.14","Arrowtooth.Age.15","Arrowtooth.Age.16","Arrowtooth.Age.17","Arrowtooth.Age.18","Arrowtooth.Age.19","Arrowtooth.Age.20","Arrowtooth.Age.21"
"33","mode"," W. Pollock","M2",2011,1.35057,0.0735442,0.0361887,0.0215276,0.00642633,0.00694803,0.00705667,0.00750571,0.00897142,0,0.00211396,0.00432034,"mode","P. Cod","M2",2011,0.441446,0.0426452,0.00166894,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2011,0.481607,0.0334333,0.0467358,0.00441467,0.00708543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","mode"," W. Pollock","M2",2012,1.34836,0.0838698,0.039619,0.0211996,0.00580896,0.00712436,0.00699685,0.00609055,0.0090016,0,0.00164643,0.00541349,"mode","P. Cod","M2",2012,0.37396,0.0681948,0.00129724,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2012,0.580324,0.0240458,0.0326509,0.00339014,0.00404395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","mode"," W. Pollock","M2",2013,0.853174,0.0369191,0.0186747,0.0112046,0.00314832,0.00352592,0.00351349,0.00365838,0.00469068,0,0.00123445,0.00195125,"mode","P. Cod","M2",2013,0.212742,0.021149,0.000734138,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2013,0.220384,0.0246597,0.0214048,0.00211393,0.00389545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","mode"," W. Pollock","M2",2014,1.57552,0.078215,0.0390723,0.0209068,0.00642164,0.00714076,0.00713097,0.00621799,0.00857455,0,0.00153396,0.0050789,"mode","P. Cod","M2",2014,0.366567,0.0664009,0.00170599,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2014,0.530813,0.0171117,0.034928,0.00282697,0.00458239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","mode"," W. Pollock","M2",2015,1.67822,0.0746533,0.0365498,0.0225856,0.00575091,0.00659135,0.00733179,0.00725927,0.0102966,0,0.00334788,0.00403931,"mode","P. Cod","M2",2015,0.375339,0.0473945,0.00102586,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2015,0.51953,0.0378815,0.0328023,0.00406377,0.00842951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","mode"," W. Pollock","M2",2016,1.96443,0.10063,0.0492241,0.0283221,0.00871127,0.00903271,0.00959489,0.00874551,0.0113412,0,0.00209719,0.00556039,"mode","P. Cod","M2",2016,0.476317,0.0689016,0.00294381,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2016,0.602663,0.0363216,0.049334,0.00440241,0.00899402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","mode"," W. Pollock","M2",2017,1.7162,0.101438,0.0519803,0.0275926,0.00758461,0.00914436,0.00893469,0.00915543,0.0110759,0,0.00433574,0.00586421,"mode","P. Cod","M2",2017,0.421634,0.0812939,0.00174336,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2017,0.645657,0.0202947,0.0288033,0.00537739,0.00670971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","mode"," W. Pollock","M2",2018,1.72754,0.113083,0.0607757,0.0353207,0.0103621,0.0103589,0.0110005,0.0119595,0.0136825,0,0.00475286,0.00488548,"mode","P. Cod","M2",2018,0.535797,0.057076,0.00456923,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2018,0.442542,0.0238551,0.0552422,0.0074216,0.0132141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","mode"," W. Pollock","M2",2019,1.20831,0.0636532,0.0355096,0.0184389,0.00603605,0.00665092,0.00573314,0.00632235,0.00583685,0,0.00231476,0.00411484,"mode","P. Cod","M2",2019,0.206726,0.0570556,0.00274258,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2019,0.315886,0.0154072,0.0242481,0.0036851,0.00247854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","mode"," W. Pollock","M2",2020,1.48694,0.0559537,0.0298474,0.0185838,0.00445769,0.00528702,0.00601159,0.00659443,0.00860878,0,0.00329527,0.00311156,"mode","P. Cod","M2",2020,0.253379,0.0358576,0.0015109,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2020,0.375399,0.01597,0.0165508,0.00478875,0.00754924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","mode"," W. Pollock","M2",2021,1.64553,0.0649797,0.031677,0.0193931,0.00593955,0.00577111,0.00651667,0.00615326,0.00795544,0,0.00150221,0.00263706,"mode","P. Cod","M2",2021,0.290815,0.0417863,0.00271997,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2021,0.448408,0.0266312,0.0212893,0.00457603,0.00726097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","mode"," W. Pollock","M2",2022,1.6386,0.0749743,0.0381731,0.0201403,0.00620396,0.00766016,0.00585614,0.0081209,0.00647541,0,0.00402252,0.00340234,"mode","P. Cod","M2",2022,0.29325,0.0496619,0.00122961,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2022,0.427612,0.019097,0.0236937,0.00537144,0.00422639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","mode"," W. Pollock","M2",2023,1.41133,0.0673671,0.0357256,0.0204892,0.00578282,0.00642502,0.00549335,0.00687646,0.00644191,0,0.0036287,0.00300354,"mode","P. Cod","M2",2023,0.273055,0.0393866,0.00343206,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2023,0.326045,0.0131558,0.0222087,0.00456345,0.00469231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","mode"," W. Pollock","M2",2024,1.40654,0.0612137,0.0328503,0.017415,0.00523832,0.00582918,0.00522429,0.00624876,0.0062102,0,0.00211565,0.00301822,"mode","P. Cod","M2",2024,0.241704,0.0365334,0.00288214,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2024,0.257043,0.0224247,0.0231626,0.00490411,0.00439136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
