#Covars (covariate phase for each covs - do not alter this line)
# Winter_pH_depthavg # Spring_vNorth_surface5m # Spring_uEast_surface5m # Winter_temp_surface5m # Spring_temp_surface5m # Summer_temp_surface5m # Fall_temp_surface5m # Winter_temp_bottom5m # Spring_temp_bottom5m # Summer_temp_bottom5m # Fall_temp_bottom5m # annual_temp_surface5m # annual_temp_bottom5m # Winter_NE_winds # Spring_NE_winds # Summer_NE_winds # Fall_NE_winds # annual_NE_winds # Summer_fracbelow1 # Summer_fracbelow2 # Spring_PhL_integrated # Spring_PhS_integrated # Winter_oxygen_bottom5m # Spring_oxygen_bottom5m # Summer_oxygen_bottom5m # Fall_oxygen_bottom5m # Winter_Cop_integrated # Spring_Cop_integrated # Summer_Cop_integrated # Fall_Cop_integrated # Winter_EupS_integrated # Spring_EupS_integrated # Summer_EupS_integrated # Fall_EupS_integrated # Winter_NCaS_integrated # Spring_NCaS_integrated # Summer_NCaS_integrated # Fall_NCaS_integrated # Winter_largeZoop_integrated # Spring_largeZoop_integrated # Summer_largeZoop_integrated # Fall_largeZoop_integrated
#nspp2 : 
3
#nTyrs : number years for the zooplankton hindcast data 
45
#hind_years : years for covariates 
1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
#ncov : number of covariates 
42
#nEatcovs : DEFUNCT 
1
#Eat_covs : DEFUNCT 
3
#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
0.1195438 0.4847929 -1.478882 0.5590064 1.872973 -1.218879 -0.8123365 -0.1799089 -0.2139906 -0.1523506 -1.078261 -0.6217991 0.05879127 -0.9904875 -0.322736 0.9853754 -0.2570606 -0.856081 -0.4732505 1.582097 -0.5454768 0.8093283 -0.1623216 -0.8070861 -1.023295 -1.453361 -0.4193751 1.477156 2.890476 -0.04131851 0.7706398 1.347707 0.8135119 1.838698 0.1361374 0.1470868 -0.2668627 -0.6098056 0.1535892 -1.800446 -1.101528 0.4766572 0.3633311 1.011876e-16 1.011876e-16
# Winter_EupS_integrated : Winter_EupS_integrated
-0.2923583 -0.5874337 -0.6663421 -0.6159137 -0.6651889 -0.634059 -0.5589509 -0.6810735 -0.209071 -0.6738704 -0.6175756 -0.6992246 -0.5991861 -0.6455289 -0.3569363 -0.3243831 -0.5793136 0.07044612 -0.2442753 -0.5578247 0.0889118 0.03746205 -0.3604992 -0.2808261 0.704521 -0.2202768 -0.02572168 -0.4236099 1.364727 5.402881 -0.01532433 0.1391474 -0.2832367 0.1207289 0.7393678 1.213899 -0.2820685 0.062061 -0.1503307 -0.2460782 0.5168144 0.619374 1.41614 -2.115959e-17 -2.115959e-17
# Spring_EupS_integrated : Spring_EupS_integrated
0.7044479 0.009202394 0.3214204 0.3777627 -0.3323937 -0.5189253 -0.01836948 -0.4531221 0.3115519 -1.271868 -0.2467038 -0.5945217 -0.4497293 -0.7671735 0.04872104 -1.244357 -1.518977 0.8457488 0.733378 -0.5033679 -1.169876 0.2841194 -0.2366387 0.6837146 0.7579359 0.3372108 -0.0441181 -0.546768 -0.9445937 -1.256023 -0.5127561 -0.6253331 -2.415807 -1.214022 1.164885 1.562047 0.07739859 0.1727856 0.8883086 1.729325 2.636699 1.842208 1.396575 1.168467e-16 1.168467e-16
# Summer_EupS_integrated : Summer_EupS_integrated
-1.56807 -0.1931043 -0.7383503 0.1226656 0.3321708 0.7482913 0.4211812 0.738881 -0.5803915 -0.06362086 -0.291547 -0.8115827 -1.005727 -0.1585559 -1.568507 1.072934 0.3127783 -2.262491 -0.1646421 1.077993 0.8840599 0.9721739 -0.07634508 -0.2733334 -1.354161 0.2339723 -0.1439836 0.8182708 1.902293 1.314017 1.374553 1.345105 1.710291 1.515691 0.2234096 -0.3008665 -1.012573 -1.682514 -0.01811002 -0.632147 -1.623229 0.1843732 -0.7812526 -8.79767e-16 -8.79767e-16
# Fall_EupS_integrated : Fall_EupS_integrated
-0.04046524 0.4170992 -1.458279 0.4864278 1.75689 -1.186672 -0.7910442 -0.1955973 -0.2673873 -0.2339569 -1.125606 -0.6486987 -0.01877781 -0.9196015 -0.4005696 0.9322109 -0.1726356 -0.8293897 -0.432824 1.550973 -0.3895601 0.7567653 -0.0919432 -0.8083555 -1.034489 -1.412414 -0.3768294 1.442285 2.873672 0.1057813 0.9313377 1.402774 0.8855978 1.991641 0.1817552 0.1602033 -0.310998 -0.7058405 0.1406014 -1.811314 -1.178859 0.4624603 0.3636317 -5.691935e-17 -5.691935e-17
# Winter_NCaS_integrated : Winter_NCaS_integrated
