#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
1.225723 1.241069 0.7497333 0.05582566 0.9663106 1.067846 -1.315713 0.2364224 0.9940165 -0.2287082 0.5913115 0.4283688 -0.05338634 0.114529 0.7959467 0.8321626 -0.455298 0.9851258 -0.315817 0.4946598 -1.286204 0.1602567 -0.2128019 0.4052218 0.6843679 0.6823176 1.404608 -0.4526388 -0.7367316 -1.858694 -1.805955 -0.9280069 -1.001175 -1.766187 0.4396603 0.9250305 0.7350573 0.762874 -0.34414 0.787725 1.286181 0.03895648 0.03895648 0.0389564
# srvy_rep_NCa_tot_surface5m :
1.556403 1.238632 0.0606447 0.04481857 0.6989986 -0.2598163 -1.116456 0.4030103 1.234132 -0.2780236 1.000518 0.4935171 0.6585246 0.4834384 0.9601578 0.5440661 -1.020221 0.9523456 -0.9352901 0.778605 -1.478999 0.07196375 -0.6809424 0.4774722 0.940526 0.6938338 1.298151 -0.9761864 -1.444152 -1.921109 -1.553725 -1.639205 -1.477045 -2.133666 -0.1955341 0.3950891 0.6959972 1.260361 -0.3050596 1.004324 0.1636483 -0.7057754 -0.7057754 -0.705775
# srvy_rep_NCaO_integrated :
-0.06907167 0.3349244 -0.3960559 -1.658635 1.765605 0.02172263 -1.621305 1.046589 0.724128 -0.716769 -0.4491423 -0.2225656 -0.5722836 -0.2102094 0.3539631 1.589981 0.008370685 0.9569639 -1.550402 0.4915073 -0.898003 -0.1836921 -0.5367407 -0.4281884 1.067864 1.161172 3.511786 -0.9064636 0.2764592 -0.3492046 -1.018178 -0.4813359 -0.4682587 -0.3006019 -0.1235996 2.125561 1.714396 1.298329 -1.339933 0.3236614 2.694019 0.1606923 0.1606923 0.160692
# srvy_rep_NCaO_surface5m :
-0.6688966 -0.643989 -0.2154233 -0.7134694 2.602609 0.2537915 -0.6970672 0.4816801 0.3127987 -0.3359573 -0.4215772 -0.5944951 -0.6721254 -0.6473154 1.126883 1.074107 0.04616129 -0.4013766 -0.7235524 0.5167 -0.6723166 -0.373838 -0.715881 -0.6882298 -0.3000248 1.177986 4.190083 -0.7075303 -0.7239094 -0.6069139 -0.5231793 -0.3934143 -0.7164405 -0.7258249 -0.6259573 -0.1386772 0.9517228 1.35589 -0.6479521 -0.6129904 0.006307709 -0.5859952 -0.5859952 -0.585995
# srvy_rep_NCaS_integrated :
1.332138 1.288366 0.8676509 0.3078542 0.7784502 1.148327 -1.176793 0.09869228 0.9638318 -0.1396187 0.7047346 0.4951861 0.02787587 0.1548951 0.805502 0.660007 -0.4922451 0.9194792 -0.1090871 0.4600561 -1.252967 0.2002487 -0.1493455 0.500926 0.578582 0.5624392 0.990389 -0.3527831 -0.8357728 -1.952284 -1.795525 -0.9288982 -1.009755 -1.859781 0.4925863 0.6801884 0.5367118 0.6288324 -0.1710559 0.80116 0.9847783 0.0180178 0.0180178 0.018017
# srvy_rep_NCaS_surface5m :
1.639652 1.312415 0.07665992 0.09403691 0.5405915 -0.2832994 -1.096797 0.3803978 1.243274 -0.262177 1.053466 0.5457052 0.7199915 0.5389421 0.9076806 0.4849533 -1.048331 1.002751 -0.9094063 0.7628334 -1.469893 0.09894065 -0.649344 0.5355892 0.983806 0.6313844 1.047356 -0.9523853 -1.430712 -1.927246 -1.556509 -1.652835 -1.464915 -2.136991 -0.1581071 0.4141227 0.6488612 1.199793 -0.2688328 1.070275 0.1672326 -0.6835457 -0.6835457 -0.683545
# srvy_rep_PhL_integrated :
-0.7808183 -0.7357423 -1.172208 0.8650038 -1.207991 -0.04735086 0.2612815 -0.1390639 -0.4429749 0.09366905 -0.864373 -1.287619 -0.5929626 -0.6084933 -1.098522 -0.2550138 0.2298617 -0.522976 0.8782158 1.030759 0.2977122 0.09930788 -0.3851735 0.2895633 -0.1850423 -0.3640697 -0.02407529 0.9894352 1.192977 1.888019 1.565296 0.9322257 2.803571 1.419944 1.400359 -0.1717655 0.7027002 -1.125062 0.1604546 -0.5178476 -1.260399 -0.3359997 -0.3359997 -0.335999
# srvy_rep_PhL_surface5m :
